,HEAD1,HEAD1,HEAD1,HEAD1,HEAD1,HEAD2,HEAD2,HEAD2,HEAD2,HEAD2,HEAD3,HEAD3,HEAD3,HEAD3,HEAD3,FINALL,FINALL,FINALL,FINALL,FINALL,,
,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q_MAX,ACTION
0,2.7660706,2.807214,2.9727156,2.914569,2.8502545,2.665378,2.6938286,2.7816408,2.7894642,2.7635636,2.906332,2.7496474,2.942461,2.7259545,2.7568674,8.3377806,8.25069,8.6968174,8.4299877,8.3706855,8.6968174,3
1,2.853738,2.901869,2.9722795,2.9370873,2.89943,2.8705058,2.887434,2.9634733,2.890188,2.9582543,2.900539,2.7545562,2.9339433,2.7018318,2.7187014,8.6247828,8.5438592,8.8696961,8.5291071,8.5763857,8.8696961,3
2,2.8933377,2.9630494,2.970596,2.9459288,2.917895,2.9678855,2.9910843,3.0481017,2.9345586,3.0489323,2.8997505,2.768059,2.9241908,2.6819944,2.697619,8.7609737,8.7221927,8.9428885,8.5624818,8.6644463,8.9428885,3
3,2.8572087,2.9396968,2.9408023,2.9147959,2.8829606,2.9407747,2.9750705,3.0254421,2.9106128,3.0251248,2.8677926,2.7422166,2.8951547,2.6494462,2.667701,8.665776,8.6569839,8.8613991,8.4748549,8.5757864,8.8613991,3
4,2.8310206,2.9248402,2.9191895,2.894034,2.8585842,2.921001,2.964815,3.008641,2.8956745,3.0096095,2.8445446,2.724613,2.8734527,2.6262908,2.6467075,8.5965662,8.6142682,8.8012832,8.4159993,8.5149012,8.8012832,3
5,2.8146775,2.9139836,2.9008098,2.8822043,2.84381,2.9054744,2.9575212,2.9917016,2.8853383,2.998654,2.830006,2.7166624,2.85609,2.618265,2.6365826,8.5501579,8.5881672,8.7486014,8.3858076,8.4790466,8.7486014,3
6,2.8031433,2.908406,2.8884695,2.8735306,2.8356571,2.89422,2.9552264,2.9794521,2.8777359,2.9945488,2.8200672,2.7172725,2.844591,2.6149955,2.6322691,8.5174305,8.5809049,8.7125126,8.366262,8.462475,8.7125126,3
7,2.788652,2.9000313,2.8739135,2.8598218,2.8240945,2.8790705,2.9486809,2.963753,2.8657095,2.9862344,2.806556,2.7156005,2.8307118,2.6054518,2.6228986,8.4742785,8.5643127,8.6683783,8.3309831,8.4332275,8.6683783,3
8,2.7609699,2.882022,2.854307,2.8344185,2.798788,2.8542461,2.9361837,2.9453144,2.8477163,2.967343,2.782024,2.705145,2.8132114,2.584234,2.5983057,8.39724,8.5233507,8.6128328,8.2663688,8.3644367,8.6128328,3
9,2.7331557,2.8636088,2.8349242,2.8089335,2.773378,2.8293588,2.9231594,2.9276445,2.8298252,2.947575,2.7577362,2.6934474,2.7959373,2.5613384,2.5721807,8.3202507,8.4802156,8.558506,8.2000971,8.2931337,8.558506,3
10,2.6923401,2.82727,2.7960403,2.7677977,2.735791,2.788586,2.8878188,2.8885932,2.7921906,2.9085174,2.7221239,2.663469,2.7590458,2.5179276,2.5307178,8.20305,8.3785578,8.4436793,8.0779159,8.1750262,8.4436793,3
11,2.6507213,2.7861676,2.7531402,2.7248516,2.698219,2.7436967,2.8440948,2.8425968,2.7487788,2.865242,2.6839788,2.6272585,2.717152,2.4706125,2.4877279,8.0783968,8.2575209,8.312889,7.9442429,8.0511889,8.312889,3
12,2.6118019,2.7467802,2.712593,2.6848097,2.664286,2.7006686,2.8013713,2.798226,2.7067807,2.8249664,2.6477377,2.592034,2.6771357,2.4257934,2.4480922,7.9602082,8.1401855,8.1879547,7.8173838,7.9373446,8.1879547,3
13,2.5736742,2.7075973,2.6716409,2.645544,2.6313844,2.6574917,2.7579207,2.7527478,2.6646483,2.7844393,2.6122682,2.5565228,2.6365201,2.381198,2.4089046,7.8434341,8.0220408,8.0609088,7.6913903,7.8247283,8.0609088,3
14,2.532227,2.6628435,2.6253047,2.602824,2.5952055,2.6092198,2.7069468,2.7007282,2.6174796,2.7376633,2.5736835,2.515505,2.5909204,2.3323867,2.3661106,7.7151303,7.8852953,7.9169533,7.5526903,7.6989794,7.9169533,3
15,2.4678998,2.584866,2.5517397,2.5330446,2.5275493,2.540979,2.6267984,2.6200047,2.5434365,2.6614182,2.5115478,2.4377618,2.5209677,2.2692468,2.2990918,7.5204266,7.6494262,7.6927121,7.3457279,7.4880593,7.6927121,3
16,2.4026458,2.504601,2.4762042,2.462301,2.458539,2.471453,2.544022,2.5367908,2.4676921,2.583155,2.4483953,2.3571305,2.4493783,2.2064912,2.2315583,7.3224941,7.4057535,7.4623733,7.1364843,7.2732523,7.4623733,3
17,2.3369038,2.42379,2.4001877,2.3907995,2.388734,2.402112,2.4605699,2.4531794,2.3915126,2.5048718,2.3851027,2.276561,2.3772626,2.1425924,2.163624,7.1241185,7.1609209,7.2306297,6.9249045,7.0572298,7.2306297,3
18,2.230953,2.3097064,2.29324,2.2842968,2.2847865,2.2920892,2.3424528,2.3397398,2.2826152,2.3927374,2.281289,2.1578133,2.2725456,2.0411394,2.057868,6.8043312,6.8099725,6.9055254,6.6080514,6.7353919,6.9055254,3
19,2.0782506,2.1584337,2.1500523,2.1368768,2.141865,2.1341858,2.1848724,2.1914241,2.135148,2.241293,2.129763,1.9947163,2.1291301,1.8951415,1.9080622,6.3421994,6.3380224,6.4706065,6.1671663,6.2912202,6.4706065,3
20,1.9468893,2.026204,2.0223958,2.0041122,2.0145268,1.9944979,2.0428226,2.0592687,1.9990286,2.1017447,1.9945971,1.8478724,2.0017595,1.7606515,1.773605,5.9359843,5.916899,6.083424,5.7637923,5.8898765,6.083424,3
21,1.8026232,1.8854449,1.8852266,1.8624063,1.8775775,1.8466024,1.89347,1.9180397,1.8575019,1.9557121,1.8526269,1.6910928,1.8649174,1.6174638,1.6310271,5.5018525,5.4700077,5.6681837,5.337372,5.4643167,5.6681837,3
22,1.5777608,1.6557966,1.6981691,1.6577173,1.6773283,1.6206069,1.6549902,1.7258337,1.6498039,1.743469,1.6283584,1.4424632,1.6787758,1.4043014,1.4252862,4.8267261,4.75325,5.1027786,4.7118226,4.8460835,5.1027786,3
23,1.2633524,1.3453338,1.3542653,1.3241841,1.339526,1.3005246,1.3368452,1.3846812,1.3170531,1.397284,1.3182489,1.1490735,1.3335935,1.0779426,1.0905141,3.8821259,3.8312525,4.07254,3.7191798,3.8273241,4.07254,3
24,0.92571855,1.0130444,0.98803866,0.96828127,0.97791886,0.9564963,0.9997419,1.021223,0.9632161,1.0290909,0.9845514,0.8387611,0.96532243,0.7312413,0.7311751,2.86676625,2.8515474,2.97458409,2.66273867,2.73818486,2.97458409,3
25,0.60334074,0.6971066,0.6398474,0.62785184,0.6349706,0.62903446,0.67922086,0.67559284,0.62521017,0.6811782,0.66652626,0.5428934,0.6149333,0.4003644,0.38943106,1.89890146,1.91922086,1.93037354,1.65342641,1.70557986,1.93037354,3
26,0.2938261,0.3948455,0.3070624,0.3022802,0.30692828,0.31439394,0.37319326,0.34524894,0.3020171,0.34922063,0.36065435,0.26002187,0.2799078,0.084758826,0.06250112,0.96887439,1.02806063,0.93221914,0.689056126,0.71865003,1.02806063,2
27,0.002424754,0.11508463,-0.008888423,-0.00878951,-0.002028562,0.01887314,0.08954023,0.03160557,-0.006130278,0.036278702,0.074084565,0.000610083,-0.038123816,-0.21490034,-0.24481216,0.095382459,0.205234943,-0.015406669,-0.229820128,-0.21056202,0.205234943,2
28,-0.26422957,-0.13319768,-0.307239,-0.302662,-0.29275268,-0.25587052,-0.16545188,-0.26501948,-0.29709643,-0.25954115,-0.19099994,-0.22291994,-0.33884048,-0.49526495,-0.53349155,-0.71110003,-0.5215695,-0.91109896,-1.09502338,-1.08578538,-0.5215695,2
29,-0.52106917,-0.37005872,-0.59790874,-0.5882894,-0.57610434,-0.52266294,-0.40962023,-0.55409575,-0.5798783,-0.548,-0.44812834,-0.43326303,-0.63201076,-0.7667951,-0.81458807,-1.49186045,-1.21294198,-1.78401525,-1.9349628,-1.93869241,-1.21294198,2
30,-0.76860106,-0.5982282,-0.87845206,-0.8635149,-0.84907836,-0.78162783,-0.6451971,-0.8326853,-0.8532305,-0.8263102,-0.69711894,-0.6355741,-0.91488206,-1.0288895,-1.086799,-2.24734783,-1.8789994,-2.62601942,-2.7456349,-2.76218756,-1.8789994,2
31,-1.016199,-0.82633424,-1.1585885,-1.1384681,-1.121525,-1.0408018,-0.8807072,-1.1107991,-1.1262031,-1.1040518,-0.9461301,-0.83764696,-1.1972588,-1.2907488,-1.3588561,-3.0031309,-2.5446884,-3.4666464,-3.55542,-3.5844329,-2.5446884,2
32,-1.2645675,-1.055298,-1.4394699,-1.4141601,-1.3947972,-1.300608,-1.1169798,-1.3895305,-1.3996111,-1.3824975,-1.1956677,-1.0403327,-1.480284,-1.5533228,-1.6318078,-3.7608432,-3.2126105,-4.3092844,-4.367094,-4.4091025,-3.2126105,2
33,-1.5085276,-1.2801123,-1.7150698,-1.6847254,-1.6629965,-1.5556439,-1.3488727,-1.6628567,-1.6677526,-1.6556382,-1.4405566,-1.2394099,-1.7580392,-1.8111165,-1.8999248,-4.5047281,-3.8683949,-5.1359657,-5.1635945,-5.2185595,-3.8683949,2
34,-1.7447335,-1.497882,-1.9838995,-1.9477128,-1.9243357,-1.80245,-1.5730157,-1.9290841,-1.9287399,-1.9217627,-1.6783078,-1.4327384,-2.0293288,-2.0613642,-2.1601808,-5.2254913,-4.5036361,-5.9423124,-5.9378169,-6.0062792,-4.5036361,2
35,-2.1576838,-1.6678586,-2.3498204,-2.3055224,-2.2089477,-2.320253,-1.8117073,-2.330307,-2.3699198,-2.209258,-2.1460285,-1.6803573,-2.5710316,-2.521648,-2.6077955,-6.6239653,-5.1599232,-7.251159,-7.1970902,-7.0260012,-5.1599232,2
36,-2.3805995,-1.8680451,-2.6041393,-2.5523682,-2.452205,-2.5580285,-2.0225806,-2.5838852,-2.6204436,-2.458093,-2.3727875,-1.8624164,-2.83322,-2.7608695,-2.854779,-7.3114155,-5.7530421,-8.0212445,-7.9336813,-7.765077,-5.7530421,2
37,-2.6048393,-2.0699813,-2.86125,-2.801775,-2.697591,-2.7963257,-2.2349782,-2.8398004,-2.8731878,-2.709311,-2.6000893,-2.0460184,-3.097611,-3.0018911,-3.1032407,-8.0012543,-6.3509779,-8.7986614,-8.6768539,-8.5101427,-6.3509779,2
38,-2.8157332,-2.2600214,-3.103597,-3.038023,-2.9288213,-3.01978,-2.4350495,-3.0810714,-3.112247,-2.9460418,-2.813291,-2.2188635,-3.3466282,-3.2291903,-3.3371973,-8.6488042,-6.9139344,-9.5312966,-9.3794603,-9.2120604,-6.9139344,2
39,-3.0125446,-2.4363225,-3.3309608,-3.2627573,-3.1449513,-3.227245,-2.621471,-3.3077798,-3.3393114,-3.1676977,-3.0112946,-2.3796742,-3.5802963,-3.442945,-3.5556567,-9.2510842,-7.4374677,-10.2190369,-10.0450137,-9.8683057,-7.4374677,2
